siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,5.0,NISP,pollen,,1000.0,,,Radiocarbon years BP,0.0,130.0,pollen,6/30/2007,505.0,0.990099009901
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,1.0,NISP,pollen,,6533.0,,,Radiocarbon years BP,400.0,130.0,pollen,6/30/2007,337.0,0.296735905045
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,1.0,NISP,pollen,,6900.0,,,Radiocarbon years BP,510.0,130.0,pollen,6/30/2007,280.0,0.357142857143
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,17.0,NISP,pollen,,7500.0,,,Radiocarbon years BP,690.0,130.0,pollen,6/30/2007,458.0,3.71179039301
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,1.0,NISP,pollen,,7580.0,,,Radiocarbon years BP,720.0,130.0,pollen,6/30/2007,301.0,0.332225913621
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,16.0,NISP,pollen,,8076.0,,,Radiocarbon years BP,800.0,130.0,pollen,6/30/2007,393.0,4.07124681934
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Rosaceae undiff.,6.0,NISP,pollen,,8510.0,,,Radiocarbon years BP,870.0,130.0,pollen,6/30/2007,205.0,2.92682926829
15,Aguilar,-23.833333,-65.75,-23.833333,-23.833333,-65.75,-65.75,Vascular plants,Rosaceae undiff.,5.0,NISP,pollen,,303.0,,,Radiocarbon years BP,20.0,4000.0,pollen,6/30/2007,467.0,1.07066381156
15,Aguilar,-23.833333,-65.75,-23.833333,-23.833333,-65.75,-65.75,Vascular plants,Rosaceae undiff.,1.0,NISP,pollen,,757.0,,,Radiocarbon years BP,50.0,4000.0,pollen,6/30/2007,445.0,0.224719101124
15,Aguilar,-23.833333,-65.75,-23.833333,-23.833333,-65.75,-65.75,Vascular plants,Rosaceae undiff.,1.0,NISP,pollen,,2120.0,,,Radiocarbon years BP,140.0,4000.0,pollen,6/30/2007,557.0,0.179533213645
