SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Lac des Atocas,45.543056,-73.311111,,,0,Radiocarbon years BP,SALIX,1,0.259067358,0,ATO
Lac des Atocas,45.543056,-73.311111,,,277,Radiocarbon years BP,SALIX,1,0.272479564,25,ATO
Lac des Atocas,45.543056,-73.311111,,,832,Radiocarbon years BP,SALIX,1,0.215517241,75,ATO
Lac des Atocas,45.543056,-73.311111,,,1054,Radiocarbon years BP,SALIX,1,0.21978022,95,ATO
Lac des Atocas,45.543056,-73.311111,,,2220,Radiocarbon years BP,SALIX,1,0.159744409,200,ATO
Lac des Atocas,45.543056,-73.311111,,,3052,Radiocarbon years BP,SALIX,1,0.208333333,275,ATO
Lac des Atocas,45.543056,-73.311111,,,3691,Radiocarbon years BP,SALIX,1,0.227790433,350,ATO
Lac des Atocas,45.543056,-73.311111,,,4259,Radiocarbon years BP,SALIX,1,0.281690141,425,ATO
Lac des Atocas,45.543056,-73.311111,,,4638,Radiocarbon years BP,SALIX,1,0.205761317,475,ATO
Lac des Atocas,45.543056,-73.311111,,,5746,Radiocarbon years BP,SALIX,2,0.473933649,575,ATO
Lac des Atocas,45.543056,-73.311111,,,6044,Radiocarbon years BP,SALIX,2,0.241837969,600,ATO
Lac des Atocas,45.543056,-73.311111,,,6343,Radiocarbon years BP,SALIX,2,0.363636364,625,ATO
Lac des Atocas,45.543056,-73.311111,,,6642,Radiocarbon years BP,SALIX,2,0.356506239,650,ATO
Lac des Atocas,45.543056,-73.311111,,,6941,Radiocarbon years BP,SALIX,1,0.17211704,675,ATO
Lac des Atocas,45.543056,-73.311111,,,7293,Radiocarbon years BP,SALIX,3,0.222386953,700,ATO
Lac des Atocas,45.543056,-73.311111,,,8430,Radiocarbon years BP,SALIX,3,0.505902192,750,ATO
Lac des Atocas,45.543056,-73.311111,,,8771,Radiocarbon years BP,SALIX,1,0.185528757,765,ATO
Lac des Atocas,45.543056,-73.311111,,,8999,Radiocarbon years BP,SALIX,1,0.183486239,775,ATO
Lac des Atocas,45.543056,-73.311111,,,9226,Radiocarbon years BP,SALIX,3,0.630252101,785,ATO
Lac des Atocas,45.543056,-73.311111,,,9567,Radiocarbon years BP,SALIX,1,0.332225914,800,ATO
Lac des Atocas,45.543056,-73.311111,,,9795,Radiocarbon years BP,SALIX,2,0.416666667,810,ATO
Lac des Atocas,45.543056,-73.311111,,,10022,Radiocarbon years BP,SALIX,2,0.381679389,820,ATO
Lac des Atocas,45.543056,-73.311111,,,10250,Radiocarbon years BP,SALIX,9,2.578796562,830,ATO
Lac des Atocas,45.543056,-73.311111,,,10363,Radiocarbon years BP,SALIX,9,2.931596091,835,ATO
Lac des Atocas,45.543056,-73.311111,,,10477,Radiocarbon years BP,SALIX,1,0.8,840,ATO
Lac des Atocas,45.543056,-73.311111,,,10591,Radiocarbon years BP,SALIX,2,1.941747573,845,ATO
Lac des Atocas,45.543056,-73.311111,,,11841,Radiocarbon years BP,SALIX,2,1.941747573,900,ATO
Barry Lake,44.3,-77.916667,,,6014,Radiocarbon years BP,SALIX,2,0.451467269,270,BARRY
Barry Lake,44.3,-77.916667,,,9190,Radiocarbon years BP,SALIX,2,0.45045045,440,BARRY
Barry Lake,44.3,-77.916667,,,9377,Radiocarbon years BP,SALIX,4,0.871459695,450,BARRY
Baseball Bog,47.23,-79.78,,,-21,Radiocarbon years BP,SALIX,3,1.376146789,1,BASEBALL
Baseball Bog,47.23,-79.78,,,57,Radiocarbon years BP,SALIX,1,0.452488688,10,BASEBALL
