siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,1,NISP,pollen,,7782,,,Radiocarbon years BP,225,595,pollen,6/30/2007,495,0.202020202
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,1,NISP,pollen,,7873,,,Radiocarbon years BP,230,595,pollen,6/30/2007,502,0.199203187
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,1,NISP,pollen,,8147,,,Radiocarbon years BP,245,595,pollen,6/30/2007,830,0.120481928
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,1,NISP,pollen,,8330,,,Radiocarbon years BP,255,595,pollen,6/30/2007,467,0.214132762
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,2,NISP,pollen,,9517,,,Radiocarbon years BP,320,595,pollen,6/30/2007,720,0.277777778
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Silene dioica,6,NISP,pollen,,9609,,,Radiocarbon years BP,325,595,pollen,6/30/2007,511,1.174168297
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Silene dioica,1,NISP,pollen,,,,,,425,20,pollen,6/30/2007,184,0.543478261
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Silene dioica,1,NISP,pollen,,,,,,440,20,pollen,6/30/2007,324,0.308641975
3066,Cooran Lane,55.116667,-4.4,55.116667,55.116667,-4.4,-4.4,Vascular plants,Silene dioica,1,NISP,pollen,,,,,,215,274,pollen,6/30/2007,465.5,0.214822771
3100,Loch Fada,57.45,-6.2,57.45,57.45,-6.2,-6.2,Vascular plants,Silene dioica,1,NISP,pollen,,8230,,,Radiocarbon years BP,510,135,pollen,6/30/2007,220,0.454545455
3100,Loch Fada,57.45,-6.2,57.45,57.45,-6.2,-6.2,Vascular plants,Silene dioica,1,NISP,pollen,,8287,,,Radiocarbon years BP,515,135,pollen,6/30/2007,318,0.314465409
3100,Loch Fada,57.45,-6.2,57.45,57.45,-6.2,-6.2,Vascular plants,Silene dioica,1,NISP,pollen,,8511,,,Radiocarbon years BP,535,135,pollen,6/30/2007,298,0.33557047
3125,Lochan coir a' Ghobhainn,57.183333,-6.3,57.183333,57.183333,-6.3,-6.3,Vascular plants,Silene dioica,1,NISP,pollen,,9506,,,Radiocarbon years BP,345,82,pollen,6/30/2007,1103,0.090661831
3125,Lochan coir a' Ghobhainn,57.183333,-6.3,57.183333,57.183333,-6.3,-6.3,Vascular plants,Silene dioica,1,NISP,pollen,,9648,,,Radiocarbon years BP,360,82,pollen,6/30/2007,1600,0.0625
3273,Loch Maree,57.083333,-5.483333,57.083333,57.083333,-5.483333,-5.483333,Vascular plants,Silene dioica,1,NISP,pollen,,2165,,,Radiocarbon years BP,110,60,pollen,6/30/2007,755,0.132450331
3296,Morrone Birkwoods,57,-3.433333,57,57,-3.433333,-3.433333,Vascular plants,Silene dioica,1,NISP,pollen,,9941,,,Radiocarbon years BP,152,425,pollen,6/30/2007,420,0.238095238
3296,Morrone Birkwoods,57,-3.433333,57,57,-3.433333,-3.433333,Vascular plants,Silene dioica,1,NISP,pollen,,10874,,,Radiocarbon years BP,232,425,pollen,6/30/2007,462,0.216450216
3296,Morrone Birkwoods,57,-3.433333,57,57,-3.433333,-3.433333,Vascular plants,Silene dioica,2,NISP,pollen,,11015,,,Radiocarbon years BP,252,425,pollen,6/30/2007,310,0.64516129
3315,Niechorze,54,15.05,54,54,15.05,15.05,Vascular plants,Silene dioica,1,NISP,pollen,,8863,,,Radiocarbon years BP,410,5,pollen,6/30/2007,1131,0.08841733
3315,Niechorze,54,15.05,54,54,15.05,15.05,Vascular plants,Silene dioica,1,NISP,pollen,,11743,,,Radiocarbon years BP,462,5,pollen,6/30/2007,727,0.137551582
3315,Niechorze,54,15.05,54,54,15.05,15.05,Vascular plants,Silene dioica,1,NISP,pollen,,13620,,,Radiocarbon years BP,492,5,pollen,6/30/2007,251,0.398406375
3458,Tarnawa Wyzna,49.1,22.833333,49.1,49.1,22.833333,22.833333,Vascular plants,Silene dioica,2,NISP,pollen,,2714,,,Radiocarbon years BP,300,670,pollen,6/30/2007,1167,0.171379606
3458,Tarnawa Wyzna,49.1,22.833333,49.1,49.1,22.833333,22.833333,Vascular plants,Silene dioica,1,NISP,pollen,,4994,,,Radiocarbon years BP,430,670,pollen,6/30/2007,729,0.137174211
3458,Tarnawa Wyzna,49.1,22.833333,49.1,49.1,22.833333,22.833333,Vascular plants,Silene dioica,1,NISP,pollen,,7056,,,Radiocarbon years BP,530,670,pollen,6/30/2007,769,0.130039012
