siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
2965,Abernethy Forest,56.233333,-3.716667,56.233333,56.233333,-3.716667,-3.716667,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,2503.0,,,Radiocarbon years BP,130.0,221.0,pollen,6/30/2007,254.0,0.393700787402
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Succisa pratensis,2.0,NISP,pollen,,5693.0,,,Radiocarbon years BP,165.0,595.0,pollen,6/30/2007,553.0,0.361663652803
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Succisa pratensis,4.0,NISP,pollen,,6538.0,,,Radiocarbon years BP,175.0,595.0,pollen,6/30/2007,340.0,1.17647058824
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Succisa pratensis,2.0,NISP,pollen,,6960.0,,,Radiocarbon years BP,180.0,595.0,pollen,6/30/2007,543.0,0.36832412523
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,7234.0,,,Radiocarbon years BP,195.0,595.0,pollen,6/30/2007,321.0,0.311526479751
2977,Allt na Feithe Sheilich,57.316667,-3.9,57.316667,57.316667,-3.9,-3.9,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,7782.0,,,Radiocarbon years BP,225.0,595.0,pollen,6/30/2007,495.0,0.20202020202
3021,Blato,49.041667,15.191667,49.041667,49.041667,15.191667,15.191667,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,7808.0,,,Radiocarbon years BP,95.0,645.0,pollen,6/30/2007,220.0,0.454545454545
3021,Blato,49.041667,15.191667,49.041667,49.041667,15.191667,15.191667,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,165.0,645.0,pollen,6/30/2007,1175.0,0.0851063829787
3025,Blomoy,60.533333,4.883333,60.533333,60.533333,4.883333,4.883333,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,7754.0,,,Radiocarbon years BP,160.0,36.0,pollen,6/30/2007,649.0,0.154083204931
3051,Chat Moss,53.466667,-2.45,53.466667,53.466667,-2.45,-2.45,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,745.0,23.0,pollen,6/30/2007,100.0,1.0
3051,Chat Moss,53.466667,-2.45,53.466667,53.466667,-2.45,-2.45,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,750.0,23.0,pollen,6/30/2007,103.0,0.970873786408
3051,Chat Moss,53.466667,-2.45,53.466667,53.466667,-2.45,-2.45,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,765.0,23.0,pollen,6/30/2007,142.0,0.704225352113
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,4.0,NISP,pollen,,,,,,365.0,20.0,pollen,6/30/2007,651.0,0.614439324117
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,4.0,NISP,pollen,,,,,,385.0,20.0,pollen,6/30/2007,741.0,0.539811066127
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,2.0,NISP,pollen,,,,,,395.0,20.0,pollen,6/30/2007,486.0,0.411522633745
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,415.0,20.0,pollen,6/30/2007,191.0,0.523560209424
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,1.0,NISP,pollen,,,,,,420.0,20.0,pollen,6/30/2007,254.0,0.393700787402
3057,Loch Cill Chriosd,57.2,-5.966667,57.2,57.2,-5.966667,-5.966667,Vascular plants,Succisa pratensis,2.0,NISP,pollen,,,,,,430.0,20.0,pollen,6/30/2007,174.0,1.14942528736
