SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Cranberry Lake,44.1,-78.1,,,5612,Radiocarbon years BP,TILIA,3,1.5,680,CRANBER
Creditview Wetland,43.6,-79.6,,,9000,Radiocarbon years BP,TILIA,2,0.626959248,5,CREDIT
Creditview Wetland,43.6,-79.6,,,9074,Radiocarbon years BP,TILIA,2,0.662251656,10,CREDIT
Creditview Wetland,43.6,-79.6,,,9810,Radiocarbon years BP,TILIA,1,0.327868852,60,CREDIT
Humber Pond 7,43.65,-79.5,,,2362,Radiocarbon years BP,TILIA,16,15.68627451,360,HUMBER7
Humber Pond 7,43.65,-79.5,,,2856,Radiocarbon years BP,TILIA,11,10.28037383,460,HUMBER7
Inglesby Lake,44.483333,-77.05,,,500,Radiocarbon years BP,TILIA,1,0.490196078,1,INGLESBY
Inglesby Lake,44.483333,-77.05,,,1006,Radiocarbon years BP,TILIA,1,0.495049505,20,INGLESBY
Inglesby Lake,44.483333,-77.05,,,2070,Radiocarbon years BP,TILIA,2,0.909090909,60,INGLESBY
Inglesby Lake,44.483333,-77.05,,,2602,Radiocarbon years BP,TILIA,1,0.490196078,80,INGLESBY
Inglesby Lake,44.483333,-77.05,,,3134,Radiocarbon years BP,TILIA,1,0.5,100,INGLESBY
Inglesby Lake,44.483333,-77.05,,,3575,Radiocarbon years BP,TILIA,3,1.5,120,INGLESBY
Inglesby Lake,44.483333,-77.05,,,3925,Radiocarbon years BP,TILIA,1,0.5,140,INGLESBY
Inglesby Lake,44.483333,-77.05,,,4275,Radiocarbon years BP,TILIA,2,1,160,INGLESBY
Inglesby Lake,44.483333,-77.05,,,4625,Radiocarbon years BP,TILIA,4,2,180,INGLESBY
Inglesby Lake,44.483333,-77.05,,,5029,Radiocarbon years BP,TILIA,2,1,200,INGLESBY
Inglesby Lake,44.483333,-77.05,,,5487,Radiocarbon years BP,TILIA,7,3.5,220,INGLESBY
Inglesby Lake,44.483333,-77.05,,,6861,Radiocarbon years BP,TILIA,1,0.5,280,INGLESBY
Inglesby Lake,44.483333,-77.05,,,8216,Radiocarbon years BP,TILIA,1,0.5,360,INGLESBY
Inglesby Lake,44.483333,-77.05,,,8860,Radiocarbon years BP,TILIA,1,0.490196078,400,INGLESBY
Inglesby Lake,44.483333,-77.05,,,9643,Radiocarbon years BP,TILIA,1,0.37037037,440,INGLESBY
Inglesby Lake,44.483333,-77.05,,,10057,Radiocarbon years BP,TILIA,1,0.185528757,460,INGLESBY
Little Round Lake,44.8,-76.683056,,,100,Radiocarbon years BP,TILIA,2,0.796812749,10,LITTRNLK
Little Round Lake,44.8,-76.683056,,,292,Radiocarbon years BP,TILIA,3,0.769230769,20,LITTRNLK
Little Round Lake,44.8,-76.683056,,,861,Radiocarbon years BP,TILIA,3,0.655021834,40,LITTRNLK
Little Round Lake,44.8,-76.683056,,,1430,Radiocarbon years BP,TILIA,5,1.272264631,60,LITTRNLK
Little Round Lake,44.8,-76.683056,,,1998,Radiocarbon years BP,TILIA,3,0.733496333,80,LITTRNLK
Little Round Lake,44.8,-76.683056,,,2567,Radiocarbon years BP,TILIA,2,0.479616307,100,LITTRNLK
Little Round Lake,44.8,-76.683056,,,3136,Radiocarbon years BP,TILIA,3,0.867052023,120,LITTRNLK
Little Round Lake,44.8,-76.683056,,,3420,Radiocarbon years BP,TILIA,1,0.294117647,130,LITTRNLK
Little Round Lake,44.8,-76.683056,,,3648,Radiocarbon years BP,TILIA,3,0.857142857,138,LITTRNLK
Little Round Lake,44.8,-76.683056,,,4273,Radiocarbon years BP,TILIA,6,1.511335013,160,LITTRNLK
Little Round Lake,44.8,-76.683056,,,4558,Radiocarbon years BP,TILIA,4,1.333333333,170,LITTRNLK
Little Round Lake,44.8,-76.683056,,,5167,Radiocarbon years BP,TILIA,5,0.941619586,180,LITTRNLK
Little Round Lake,44.8,-76.683056,,,6100,Radiocarbon years BP,TILIA,6,1.392111369,190,LITTRNLK
Little Round Lake,44.8,-76.683056,,,7033,Radiocarbon years BP,TILIA,3,0.738916256,200,LITTRNLK
Little Round Lake,44.8,-76.683056,,,7967,Radiocarbon years BP,TILIA,3,0.576923077,210,LITTRNLK
Little Round Lake,44.8,-76.683056,,,8900,Radiocarbon years BP,TILIA,1,0.259067358,220,LITTRNLK
Maplehurst Lake,43.225,-80.659722,,,1484,Radiocarbon years BP,TILIA,6,1.03626943,145,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,1732,Radiocarbon years BP,TILIA,4,1.290322581,165,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,1979,Radiocarbon years BP,TILIA,5,1.240694789,185,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,2473,Radiocarbon years BP,TILIA,3,0.9375,225,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,2721,Radiocarbon years BP,TILIA,3,0.826446281,245,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,2968,Radiocarbon years BP,TILIA,2,0.524934383,265,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,3215,Radiocarbon years BP,TILIA,5,1.204819277,285,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,3463,Radiocarbon years BP,TILIA,5,1.557632399,305,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,3710,Radiocarbon years BP,TILIA,3,0.895522388,325,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,3957,Radiocarbon years BP,TILIA,1,0.227790433,345,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,4204,Radiocarbon years BP,TILIA,3,0.769230769,365,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,4452,Radiocarbon years BP,TILIA,4,1.438848921,385,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,4946,Radiocarbon years BP,TILIA,5,1.501501502,425,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,5206,Radiocarbon years BP,TILIA,6,1.846153846,446,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,5477,Radiocarbon years BP,TILIA,8,2.305475504,465,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,5805,Radiocarbon years BP,TILIA,4,1.08401084,485,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,6133,Radiocarbon years BP,TILIA,4,1.201201201,505,MAPLHRST
Maplehurst Lake,43.225,-80.659722,,,6460,Radiocarbon years BP,TILIA,7,1.37524558,525,MAPLHRST
Nina Lake,46.6,-81.5,,,352,Radiocarbon years BP,TILIA,1,0.168067227,20,NINA
Nina Lake,46.6,-81.5,,,10046,Radiocarbon years BP,TILIA,1,1.298701299,565,NINA
Perch Lake,46.03,-77.34,-8,158,52,Calibrated radiocarbon years BP,TILIA,2,0.682593857,12.5,PERCHON
Perch Lake,46.03,-77.34,366,992,663,Calibrated radiocarbon years BP,TILIA,1,0.293255132,67.5,PERCHON
Perch Lake,46.03,-77.34,1203,1900,1542,Calibrated radiocarbon years BP,TILIA,1,0.260416667,127.5,PERCHON
Perch Lake,46.03,-77.34,1414,2185,1792,Calibrated radiocarbon years BP,TILIA,2,0.682593857,145.5,PERCHON
Perch Lake,46.03,-77.34,1980,2752,2363,Calibrated radiocarbon years BP,TILIA,1,0.373134328,186.5,PERCHON
Saint-Raymond,46.891944,-71.807778,,,3198,Radiocarbon years BP,TILIA,1,0.135501355,250,RAY
Saint-Raymond,46.891944,-71.807778,,,4545,Radiocarbon years BP,TILIA,1,0.144092219,340,RAY
Rostock Mammoth Site,43.5,-81,,,13545,Radiocarbon years BP,TILIA,1,1,120,ROSTOCK1
Wylde Bog,43.9,-80.4,,,6150,Radiocarbon years BP,TILIA,1,0.416666667,375,WYLDEBOG
Wylde Lake,43.91,-80.4,,,341,Radiocarbon years BP,TILIA,2,0.970873786,40,WYLDELK
Wylde Lake,43.91,-80.4,,,1868,Radiocarbon years BP,TILIA,1,0.471698113,80,WYLDELK
Wylde Lake,43.91,-80.4,,,4680,Radiocarbon years BP,TILIA,1,0.485436893,160,WYLDELK
Wylde Lake,43.91,-80.4,,,4962,Radiocarbon years BP,TILIA,1,0.485436893,180,WYLDELK
Wylde Lake,43.91,-80.4,,,5102,Radiocarbon years BP,TILIA,1,0.473933649,190,WYLDELK
Wylde Lake,43.91,-80.4,,,5383,Radiocarbon years BP,TILIA,1,0.485436893,210,WYLDELK
Wylde Lake,43.91,-80.4,,,5664,Radiocarbon years BP,TILIA,1,0.480769231,230,WYLDELK
Wylde Lake,43.91,-80.4,,,5805,Radiocarbon years BP,TILIA,1,0.480769231,240,WYLDELK
McGinnis Lake,44.607495,-78.039815,,,-19.625,Radiocarbon years BP,TILIA,1,0.41322314,5,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,152.6316,Radiocarbon years BP,TILIA,2,0.527704485,15,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,284.2105,Radiocarbon years BP,TILIA,1,0.31152648,20,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,415.7895,Radiocarbon years BP,TILIA,5,1.157407407,25,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,547.3684,Radiocarbon years BP,TILIA,1,0.285714286,30,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,681.8182,Radiocarbon years BP,TILIA,2,0.925925926,35,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,818.1818,Radiocarbon years BP,TILIA,1,0.259067358,40,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,954.5455,Radiocarbon years BP,TILIA,2,0.930232558,45,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,1090.909,Radiocarbon years BP,TILIA,2,0.566572238,50,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,1363.636,Radiocarbon years BP,TILIA,2,0.634920635,60,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,1636.364,Radiocarbon years BP,TILIA,3,0.867052023,70,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,2181.818,Radiocarbon years BP,TILIA,2,0.597014925,90,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,2727.273,Radiocarbon years BP,TILIA,2,0.425531915,110,MCGINCNT
McGinnis Lake,44.607495,-78.039815,,,3000,Radiocarbon years BP,TILIA,6,1.759530792,120,MCGINCNT
Kilbride Swamp,43.46458333,-79.91541667,8718,47509,21088,Calibrated radiocarbon years BP,TILIA,1,0.497512438,102,KILBRIDE
Andree Bog,45.725,-93.25,,,11333,Radiocarbon years BP,TILIA,1,0.403225806,620,ANDREE
Spiritwood Lake,47.074695,-98.5866,,,2830,Radiocarbon years BP,TILIA,1,0.341296928,590,SPIRITWD
Mansell Pond,45.041667,-68.733333,,,16,Radiocarbon years BP,TILIA,1,0.087489064,675,MANSELL
Mansell Pond,45.041667,-68.733333,,,3883,Radiocarbon years BP,TILIA,1,0.086206897,890,MANSELL
Mansell Pond,45.041667,-68.733333,,,4081,Radiocarbon years BP,TILIA,2,0.19379845,906,MANSELL
Mansell Pond,45.041667,-68.733333,,,4280,Radiocarbon years BP,TILIA,1,0.08760403,922,MANSELL
Mansell Pond,45.041667,-68.733333,,,4471,Radiocarbon years BP,TILIA,2,0.17809439,930,MANSELL
Mansell Pond,45.041667,-68.733333,,,4663,Radiocarbon years BP,TILIA,1,0.087950748,938,MANSELL
Mansell Pond,45.041667,-68.733333,,,5524,Radiocarbon years BP,TILIA,1,0.082987552,974,MANSELL
Mansell Pond,45.041667,-68.733333,,,5619,Radiocarbon years BP,TILIA,1,0.090456807,978,MANSELL
Mansell Pond,45.041667,-68.733333,,,6256,Radiocarbon years BP,TILIA,1,0.091743119,1014,MANSELL
Mansell Pond,45.041667,-68.733333,,,6391,Radiocarbon years BP,TILIA,1,0.09492169,1022,MANSELL
Mansell Pond,45.041667,-68.733333,,,7046,Radiocarbon years BP,TILIA,1,0.085984523,1046,MANSELL
