SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Crawford Lake,43.5,-79.83,136.0,881.0,455.0,Calibrated radiocarbon years BP,TSUGAX,21.0,5.159705159705159,20.0,CRAWFDC
Crawford Lake,43.5,-79.83,314.0,1202.0,712.0,Calibrated radiocarbon years BP,TSUGAX,21.0,3.8461538461538463,30.0,CRAWFDC
Crawford Lake,43.5,-79.83,513.0,1490.0,967.0,Calibrated radiocarbon years BP,TSUGAX,21.0,4.98812351543943,40.0,CRAWFDC
Crawford Lake,43.5,-79.83,731.0,1758.0,1218.0,Calibrated radiocarbon years BP,TSUGAX,13.0,3.651685393258427,50.0,CRAWFDC
Crawford Lake,43.5,-79.83,966.0,2019.0,1472.0,Calibrated radiocarbon years BP,TSUGAX,12.0,3.260869565217391,60.0,CRAWFDC
Crawford Lake,43.5,-79.83,1093.0,2158.0,1601.0,Calibrated radiocarbon years BP,TSUGAX,19.0,4.896907216494846,65.0,CRAWFDC
Crawford Lake,43.5,-79.83,1215.0,2275.0,1728.0,Calibrated radiocarbon years BP,TSUGAX,14.0,3.3333333333333335,70.0,CRAWFDC
Crawford Lake,43.5,-79.83,1786.0,2709.0,2239.0,Calibrated radiocarbon years BP,TSUGAX,8.0,1.9230769230769231,90.0,CRAWFDC
Crawford Lake,43.5,-79.83,2091.0,3037.0,2539.0,Calibrated radiocarbon years BP,TSUGAX,6.0,1.3303769401330376,100.0,CRAWFDC
Crawford Lake,43.5,-79.83,2756.0,3796.0,3281.0,Calibrated radiocarbon years BP,TSUGAX,16.0,3.4334763948497855,120.0,CRAWFDC
Crawford Lake,43.5,-79.83,3511.0,4545.0,4010.0,Calibrated radiocarbon years BP,TSUGAX,19.0,3.9014373716632447,140.0,CRAWFDC
Crawford Lake,43.5,-79.83,3765.0,5000.0,4346.0,Calibrated radiocarbon years BP,TSUGAX,17.0,4.282115869017632,150.0,CRAWFDC
Crawford Lake,43.5,-79.83,4024.0,5421.0,4676.0,Calibrated radiocarbon years BP,TSUGAX,11.0,2.576112412177986,160.0,CRAWFDC
