SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Dog Lake,50.780545000000004,-115.92976999999999,-38.0,312.0,76.0,Calibrated radiocarbon years BP,TSUGHETE,3.0,0.46224961479198773,2.0,DOGLKBC
Dog Lake,50.780545000000004,-115.92976999999999,-35.0,490.0,137.0,Calibrated radiocarbon years BP,TSUGHETE,4.0,0.6600660066006601,3.0,DOGLKBC
Dog Lake,50.780545000000004,-115.92976999999999,-32.0,669.0,198.0,Calibrated radiocarbon years BP,TSUGHETE,10.0,1.6339869281045754,4.0,DOGLKBC
Dog Lake,50.780545000000004,-115.92976999999999,9.0,920.0,322.0,Calibrated radiocarbon years BP,TSUGHETE,5.0,0.8090614886731391,6.0,DOGLKBC
Twin Lake,49.322,-119.725,,,265.5,Varve years BP,TSUGHETE,4.0,0.7352941176470588,43.0,TWINLKBC
Buckbean Bog,49.11905,-119.68305,-48.0,-42.0,-45.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.37593984962406013,0.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,-46.0,25.0,-23.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,0.49504950495049505,2.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,-45.0,96.0,-1.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,0.9523809523809524,4.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,87.0,794.0,344.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,1.1049723756906076,35.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,155.0,1003.0,458.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.33783783783783783,45.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,3785.0,5339.0,4814.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.303951367781155,230.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,4064.0,5756.0,5131.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.31746031746031744,250.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,4419.0,6323.0,5625.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.29239766081871343,280.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,4547.0,6404.0,5742.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.27100271002710025,285.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,6407.0,6933.0,6685.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.2958579881656805,313.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,6430.0,6944.0,6696.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,0.6666666666666667,314.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,6471.0,6966.0,6718.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,0.8888888888888888,316.0,BUCKBOG
Buckbean Bog,49.11905,-119.68305,10726.0,11473.0,11200.0,Calibrated radiocarbon years BP,TSUGHETE,1.0,0.2762430939226519,389.0,BUCKBOG
Crater Lake,49.19225,-120.09585,7396.0,9150.0,8364.0,Calibrated radiocarbon years BP,TSUGHETE,2.0,0.5154639175257731,240.0,CRATERBC
