SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Crawford Bog,43.4665277777778,-79.9491666666667,6310.0,7082.0,6722.0,Calibrated radiocarbon years BP,ULMUS,13.0,6.372549019607843,1088.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,6699.0,7198.0,6920.0,Calibrated radiocarbon years BP,ULMUS,8.0,3.9603960396039604,1115.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,6785.0,7312.0,7019.0,Calibrated radiocarbon years BP,ULMUS,22.0,10.83743842364532,1125.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,7216.0,8796.0,7884.0,Calibrated radiocarbon years BP,ULMUS,6.0,2.9702970297029703,1200.0,CRAWFBOG
Fire Lake,52.331985,-67.35709,5101.0,6328.0,5693.0,Calibrated radiocarbon years BP,ULMUS,1.0,0.2,258.0,FIRELAKE
Roulston Lake (MS-78-15),46.89451,-67.4,61.0,1076.0,443.0,Calibrated radiocarbon years BP,ULMUS,1.0,0.22346368715083798,18.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,349.0,1843.0,976.0,Calibrated radiocarbon years BP,ULMUS,4.0,0.9779951100244498,38.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,1128.0,3032.0,2032.0,Calibrated radiocarbon years BP,ULMUS,4.0,1.0767160161507403,78.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,1645.0,3663.0,2618.0,Calibrated radiocarbon years BP,ULMUS,4.0,0.9433962264150944,100.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,2131.0,4213.0,3152.0,Calibrated radiocarbon years BP,ULMUS,4.0,0.8771929824561403,120.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,3141.0,5183.0,4201.0,Calibrated radiocarbon years BP,ULMUS,3.0,0.9693053311793215,160.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,3733.0,5629.0,4739.0,Calibrated radiocarbon years BP,ULMUS,2.0,0.667779632721202,180.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,4370.0,6049.0,5263.0,Calibrated radiocarbon years BP,ULMUS,3.0,1.0221465076660987,200.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,5023.0,6435.0,5797.0,Calibrated radiocarbon years BP,ULMUS,4.0,1.1904761904761905,220.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,5820.0,6766.0,6313.0,Calibrated radiocarbon years BP,ULMUS,3.0,0.872093023255814,239.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,8128.0,9418.0,8827.0,Calibrated radiocarbon years BP,ULMUS,1.0,0.28169014084507044,338.5,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,8930.0,9865.0,9394.0,Calibrated radiocarbon years BP,ULMUS,2.0,0.2886002886002886,360.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,10227.0,11803.0,11060.0,Calibrated radiocarbon years BP,ULMUS,1.0,0.2785515320334262,400.0,MS-78-15
Roulston Lake (MS-78-15),46.89451,-67.4,10908.0,12147.0,11551.0,Calibrated radiocarbon years BP,ULMUS,1.0,0.2785515320334262,412.0,MS-78-15
Rice Lake,44.199085,-78.14232,4284.0,5940.0,5023.0,Calibrated radiocarbon years BP,ULMUS,31.0,6.724511930585683,180.0,RICEON
Rice Lake,44.199085,-78.14232,4140.0,5622.0,4816.0,Calibrated radiocarbon years BP,ULMUS,21.0,4.208416833667335,171.0,RICEON
Rice Lake,44.199085,-78.14232,4200.0,5714.0,4885.0,Calibrated radiocarbon years BP,ULMUS,13.0,2.748414376321353,174.0,RICEON
Rice Lake,44.199085,-78.14232,4284.0,5940.0,5023.0,Calibrated radiocarbon years BP,ULMUS,31.0,6.724511930585683,180.0,RICEON
Webbs Lake,44.167066666666656,-78.10249999999999,1046.0,2343.0,1665.0,Calibrated radiocarbon years BP,ULMUS,10.0,4.830917874396135,130.0,WEBBS
