siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,312.0,,,Radiocarbon years BP,10.0,3290.0,pollen,6/30/2007,791.0,0.379266750948
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,1562.0,,,Radiocarbon years BP,45.0,3290.0,pollen,6/30/2007,629.0,0.317965023847
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,2188.0,,,Radiocarbon years BP,60.0,3290.0,pollen,6/30/2007,728.0,0.137362637363
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,2500.0,,,Radiocarbon years BP,70.0,3290.0,pollen,6/30/2007,775.0,0.258064516129
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,3246.0,,,Radiocarbon years BP,85.0,3290.0,pollen,6/30/2007,941.0,0.212539851222
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,3743.0,,,Radiocarbon years BP,95.0,3290.0,pollen,6/30/2007,787.0,0.254129606099
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,4.0,NISP,pollen,,3991.0,,,Radiocarbon years BP,110.0,3290.0,pollen,6/30/2007,1381.0,0.289645184649
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,4756.0,,,Radiocarbon years BP,120.0,3290.0,pollen,6/30/2007,1295.0,0.23166023166
1702,Paramo de Miranda,8.916667,-70.833333,8.916667,8.916667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,9921.0,,,Radiocarbon years BP,170.0,3290.0,pollen,6/30/2007,977.0,0.102354145343
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,0.0,,,Radiocarbon years BP,0.0,4080.0,pollen,6/30/2007,782.0,0.127877237852
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,260.0,,,Radiocarbon years BP,20.0,4080.0,pollen,6/30/2007,321.0,0.934579439252
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,300.0,,,Radiocarbon years BP,30.0,4080.0,pollen,6/30/2007,435.0,0.459770114943
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,540.0,,,Radiocarbon years BP,90.0,4080.0,pollen,6/30/2007,194.0,0.515463917526
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,660.0,,,Radiocarbon years BP,120.0,4080.0,pollen,6/30/2007,216.0,0.925925925926
1830,Paramo de Piedras Blancas,9.166667,-70.833333,9.166667,9.166667,-70.833333,-70.833333,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,1300.0,,,Radiocarbon years BP,280.0,4080.0,pollen,6/30/2007,414.0,0.24154589372
2989,Atxuri,43.25,-1.55,43.25,43.25,-1.55,-1.55,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,3723.0,,,Radiocarbon years BP,80.0,500.0,pollen,6/30/2007,359.0,0.278551532033
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,,,,,1.0,375.0,pollen,6/30/2007,420.0,0.238095238095
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,4.0,NISP,pollen,,,,,,2.0,375.0,pollen,6/30/2007,405.0,0.987654320988
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,5.0,NISP,pollen,,,,,,3.0,375.0,pollen,6/30/2007,325.0,1.53846153846
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,,,,,4.0,375.0,pollen,6/30/2007,322.0,0.621118012422
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,,,,,5.0,375.0,pollen,6/30/2007,380.0,0.789473684211
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,,,,,6.0,375.0,pollen,6/30/2007,168.0,1.78571428571
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,,,,,7.0,375.0,pollen,6/30/2007,302.0,0.331125827815
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,,,,,8.0,375.0,pollen,6/30/2007,243.0,0.411522633745
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,,,,,9.0,375.0,pollen,6/30/2007,263.0,0.760456273764
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,,,,,10.0,375.0,pollen,6/30/2007,722.0,0.415512465374
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,4.0,NISP,pollen,,,,,,12.0,375.0,pollen,6/30/2007,359.0,1.11420612813
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,7.0,NISP,pollen,,,,,,13.0,375.0,pollen,6/30/2007,326.0,2.1472392638
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,640.0,NISP,pollen,,,,,,14.0,375.0,pollen,6/30/2007,809.0,79.1100123609
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,2550.0,NISP,pollen,,,,,,15.0,375.0,pollen,6/30/2007,2762.0,92.3244026068
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1224.0,NISP,pollen,,,,,,16.0,375.0,pollen,6/30/2007,1470.0,83.2653061224
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,655.0,NISP,pollen,,,,,,17.0,375.0,pollen,6/30/2007,918.0,71.3507625272
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1176.0,NISP,pollen,,,,,,18.0,375.0,pollen,6/30/2007,1419.0,82.8752642706
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,527.0,NISP,pollen,,,,,,19.0,375.0,pollen,6/30/2007,798.0,66.0401002506
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,108.0,NISP,pollen,,,,,,20.0,375.0,pollen,6/30/2007,368.0,29.347826087
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,275.0,NISP,pollen,,,,,,21.0,375.0,pollen,6/30/2007,582.0,47.2508591065
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,316.0,NISP,pollen,,,,,,22.0,375.0,pollen,6/30/2007,641.0,49.2979719189
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,,,,,23.0,375.0,pollen,6/30/2007,302.0,0.993377483444
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,,,,,24.0,375.0,pollen,6/30/2007,395.0,0.253164556962
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,,,,,25.0,375.0,pollen,6/30/2007,405.0,0.493827160494
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,14.0,NISP,pollen,,,,,,27.0,375.0,pollen,6/30/2007,373.0,3.75335120643
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,3.0,NISP,pollen,,,,,,29.0,375.0,pollen,6/30/2007,286.0,1.04895104895
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,2.0,NISP,pollen,,,,,,30.0,375.0,pollen,6/30/2007,271.0,0.738007380074
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,1.0,NISP,pollen,,,,,,31.0,375.0,pollen,6/30/2007,259.0,0.3861003861
2999,Bois de Buchelbush,49.713889,5.829722,49.713889,49.713889,5.829722,5.829722,Vascular plants,Urticalean Rosids,9.0,NISP,pollen,,,,,,32.0,375.0,pollen,6/30/2007,522.0,1.72413793103
