SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Canyon Lake,46.833333,-87.921389,10073.0,11063.0,10593.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.8830022075055187,756.0,CANYONMI
Everhart Lake,43.617599999999996,-93.43875,,,1.0,Calendar years BP,XANTHIUM,1.0,0.13869625520110956,10.0,EVRHRTLK
Everhart Lake,43.617599999999996,-93.43875,,,49.0,Calendar years BP,XANTHIUM,1.0,0.24009603841536614,25.0,EVRHRTLK
Everhart Lake,43.617599999999996,-93.43875,,,64.0,Calendar years BP,XANTHIUM,1.0,0.24125452352231602,30.0,EVRHRTLK
Deep Lake,47.68380500000001,-95.398395,28.0,300.0,143.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.14204545454545456,22.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,605.0,1187.0,886.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.15847860538827258,110.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,2546.0,3276.0,2919.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.4975124378109453,350.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,2717.0,3440.0,3089.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.2840909090909091,370.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,4953.0,5493.0,5226.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.4048582995951417,610.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,5347.0,5886.0,5629.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.22935779816513763,650.0,DEEPLAKE
Deep Lake,47.68380500000001,-95.398395,5555.0,6068.0,5830.0,Calibrated radiocarbon years BP,XANTHIUM,3.0,0.801068090787717,670.0,DEEPLAKE
Steel Lake,46.973155000000006,-94.68138,-11.0,293.0,122.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.24752475247524752,30.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,6747.0,7046.0,6891.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.1092896174863388,650.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,7559.0,8135.0,7826.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.1893939393939394,710.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,7766.0,8646.0,8143.0,Calibrated radiocarbon years BP,XANTHIUM,3.0,0.5725190839694656,740.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,7995.0,8980.0,8425.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.28735632183908044,775.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,7999.0,8990.0,8430.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.3448275862068966,776.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,8156.0,9254.0,8659.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.14792899408284024,806.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,8670.0,9730.0,9249.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.3663003663003663,852.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,9248.0,9973.0,9609.0,Calibrated radiocarbon years BP,XANTHIUM,1.0,0.09861932938856016,880.0,STEELMN
Steel Lake,46.973155000000006,-94.68138,9805.0,10464.0,10155.0,Calibrated radiocarbon years BP,XANTHIUM,2.0,0.15735641227380015,915.0,STEELMN
