Taxon,Sites,Records,CSV,Shapefile
ABIES,80,758,/CSV/plants/ABIES.csv,Shapefiles/plants/ABIES.shp
ACER,89,1220,/CSV/plants/ACER.csv,Shapefiles/plants/ACER.shp
ALNUS,186,2311,/CSV/plants/ALNUS.csv,Shapefiles/plants/ALNUS.shp
AMBROSIA,101,1308,/CSV/plants/AMBROSIA.csv,Shapefiles/plants/AMBROSIA.shp
APIACEAE,53,239,/CSV/plants/APIACEAE.csv,Shapefiles/plants/APIACEAE.shp
AQUIFOLI,2,6,/CSV/plants/AQUIFOLI.csv,Shapefiles/plants/AQUIFOLI.shp
Arceuthobium,12,74,/CSV/plants/Arceuthobium.csv,Shapefiles/plants/Arceuthobium.shp
ARECACEAE,3,8,/CSV/plants/ARECACEAE.csv,Shapefiles/plants/ARECACEAE.shp
ARMERIA,2,2,/CSV/plants/ARMERIA.csv,Shapefiles/plants/ARMERIA.shp
ARTEMISIA,106,1046,/CSV/plants/ARTEMISIA.csv,Shapefiles/plants/ARTEMISIA.shp
ASTER,360,3670,/CSV/plants/ASTER.csv,Shapefiles/plants/ASTER.shp
BETULA,120,2461,/CSV/plants/BETULA.csv,Shapefiles/plants/BETULA.shp
BORAGINACEAE,4,7,/CSV/plants/BORAGINACEAE.csv,Shapefiles/plants/BORAGINACEAE.shp
BRASSICACEAE,36,180,/CSV/plants/BRASSICACEAE.csv,Shapefiles/plants/BRASSICACEAE.shp
CACTACEAE,4,18,/CSV/plants/CACTACEAE.csv,Shapefiles/plants/CACTACEAE.shp
CAMPANULACEA,19,47,/CSV/plants/CAMPANULACEA.csv,Shapefiles/plants/CAMPANULACEA.shp
CAPRIFOLIA,12,73,/CSV/plants/CAPRIFOLIA.csv,Shapefiles/plants/CAPRIFOLIA.shp
CARYA,138,1285,/CSV/plants/CARYA.csv,Shapefiles/plants/CARYA.shp
CARYOPHYLL,49,184,/CSV/plants/CARYOPHYLL.csv,Shapefiles/plants/CARYOPHYLL.shp
CASTANEA,17,65,/CSV/plants/CASTANEA.csv,Shapefiles/plants/CASTANEA.shp
CHENOPODIACEAE,83,706,/CSV/plants/CHENOPODIACEAE.csv,Shapefiles/plants/CHENOPODIACEAE.shp
CHRYSOLEPIS,2,3,/CSV/plants/CHRYSOLEPIS.csv,Shapefiles/plants/CHRYSOLEPIS.shp
CORNUS,37,86,/CSV/plants/CORNUS.csv,Shapefiles/plants/CORNUS.shp
CORYLUS,12,71,/CSV/plants/CORYLUS.csv,Shapefiles/plants/CORYLUS.shp
CUPRESSA,126,1218,/CSV/plants/CUPRESSA.csv,Shapefiles/plants/CUPRESSA.shp
CYPERACE,182,2284,/CSV/plants/CYPERACE.csv,Shapefiles/plants/CYPERACE.shp
DODECATH,2,2,/CSV/plants/DODECATH.csv,Shapefiles/plants/DODECATH.shp
DRYAS,25,208,/CSV/plants/DRYAS.csv,Shapefiles/plants/DRYAS.shp
ELAEAGNUS,5,11,/CSV/plants/ELAEAGNUS.csv,Shapefiles/plants/ELAEAGNUS.shp
EPHEDRA,24,104,/CSV/plants/EPHEDRA.csv,Shapefiles/plants/EPHEDRA.shp
EQUISETU,6,57,/CSV/plants/EQUISETU.csv,Shapefiles/plants/EQUISETU.shp
ERICACEAE,56,394,/CSV/plants/ERICACEAE.csv,Shapefiles/plants/ERICACEAE.shp
EUPHORBIA,6,13,/CSV/plants/EUPHORBIA.csv,Shapefiles/plants/EUPHORBIA.shp
FABACEAE,65,307,/CSV/plants/FABACEAE.csv,Shapefiles/plants/FABACEAE.shp
FAGUS,107,901,/CSV/plants/FAGUS.csv,Shapefiles/plants/FAGUS.shp
FRAXINUS,81,910,/CSV/plants/FRAXINUS.csv,Shapefiles/plants/FRAXINUS.shp
IVA,22,85,/CSV/plants/IVA.csv,Shapefiles/plants/IVA.shp
