SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Browns Pond,38.154722,-79.616389,14504,14880,14692,Calibrated Radiocarbon Years BP (Blois),ABIES,25.0,5.747126436781609,210.1,BROWNSPD
Browns Pond,38.154722,-79.616389,14984,15365,15173,Calibrated Radiocarbon Years BP (Blois),ABIES,19.0,5.277777777777778,220.1,BROWNSPD
Browns Pond,38.154722,-79.616389,15332,15737,15530,Calibrated Radiocarbon Years BP (Blois),ABIES,2.0,0.5524861878453038,230.1,BROWNSPD
Browns Pond,38.154722,-79.616389,16146,16685,16393,Calibrated Radiocarbon Years BP (Blois),ABIES,7.0,1.643192488262911,310.1,BROWNSPD
Buck Lake,46.520515,-86.35387,-39.0,9.0,-20.0,Calibrated radiocarbon years BP,ABIES,7.0,2.023121387283237,10.0,BUCKMI
Buck Lake,46.520515,-86.35387,-33.0,29.0,-7.0,Calibrated radiocarbon years BP,ABIES,3.0,0.8426966292134831,20.0,BUCKMI
Buck Lake,46.520515,-86.35387,29.0,94.0,63.0,Calibrated radiocarbon years BP,ABIES,5.0,1.4970059880239521,70.5,BUCKMI
Buck Lake,46.520515,-86.35387,77.0,303.0,152.0,Calibrated radiocarbon years BP,ABIES,1.0,0.3134796238244514,90.0,BUCKMI
Buck Lake,46.520515,-86.35387,1633.0,2717.0,2187.0,Calibrated radiocarbon years BP,ABIES,2.0,0.591715976331361,250.0,BUCKMI
Buck Lake,46.520515,-86.35387,3461.0,4077.0,3761.0,Calibrated radiocarbon years BP,ABIES,2.0,0.6153846153846154,409.0,BUCKMI
Buck Lake,46.520515,-86.35387,3695.0,4423.0,4044.0,Calibrated radiocarbon years BP,ABIES,2.0,0.6269592476489028,439.0,BUCKMI
Buck Lake,46.520515,-86.35387,3920.0,4694.0,4299.0,Calibrated radiocarbon years BP,ABIES,2.0,0.5970149253731344,466.0,BUCKMI
