SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Baseball Bog,47.23,-79.78,,,948.0,Radiocarbon years BP,ABIES,2.0,0.9433962264150944,40.0,BASEBALL
Baseball Bog,47.23,-79.78,,,1287.0,Radiocarbon years BP,ABIES,2.0,0.904977375565611,50.0,BASEBALL
Baseball Bog,47.23,-79.78,,,3321.0,Radiocarbon years BP,ABIES,1.0,0.4694835680751174,110.0,BASEBALL
Baseball Bog,47.23,-79.78,,,3999.0,Radiocarbon years BP,ABIES,2.0,0.9389671361502347,130.0,BASEBALL
Bear Bog,47.18,-80.16,,,3743.0,Radiocarbon years BP,ABIES,3.0,1.4150943396226416,210.0,BEARBOG
Bear Bog,47.18,-80.16,,,3924.0,Radiocarbon years BP,ABIES,2.0,0.975609756097561,220.0,BEARBOG
Bear Bog,47.18,-80.16,,,4104.0,Radiocarbon years BP,ABIES,2.0,0.966183574879227,230.0,BEARBOG
Bear Bog,47.18,-80.16,,,4644.0,Radiocarbon years BP,ABIES,1.0,0.49261083743842365,260.0,BEARBOG
Bear Bog,47.18,-80.16,,,4824.0,Radiocarbon years BP,ABIES,1.0,0.4761904761904762,270.0,BEARBOG
Bear Bog,47.18,-80.16,,,5005.0,Radiocarbon years BP,ABIES,4.0,1.8518518518518516,280.0,BEARBOG
Bear Bog,47.18,-80.16,,,5185.0,Radiocarbon years BP,ABIES,1.0,0.49261083743842365,290.0,BEARBOG
Bear Bog,47.18,-80.16,,,5365.0,Radiocarbon years BP,ABIES,1.0,0.4784688995215311,300.0,BEARBOG
Bear Bog,47.18,-80.16,,,5567.0,Radiocarbon years BP,ABIES,1.0,0.49261083743842365,310.0,BEARBOG
Bear Bog,47.18,-80.16,,,5835.0,Radiocarbon years BP,ABIES,1.0,0.4761904761904762,320.0,BEARBOG
Bear Bog,47.18,-80.16,,,6372.0,Radiocarbon years BP,ABIES,2.0,0.9708737864077669,340.0,BEARBOG
Bear Bog,47.18,-80.16,,,6640.0,Radiocarbon years BP,ABIES,4.0,1.8691588785046727,350.0,BEARBOG
Bear Bog,47.18,-80.16,,,6909.0,Radiocarbon years BP,ABIES,11.0,5.14018691588785,360.0,BEARBOG
Bear Bog,47.18,-80.16,,,7177.0,Radiocarbon years BP,ABIES,2.0,0.9708737864077669,370.0,BEARBOG
Border Beacon,55.333333,-63.2,,,3570.0,Radiocarbon years BP,ABIES,4.0,1.2084592145015105,1525.0,BORDER
Border Beacon,55.333333,-63.2,,,3821.0,Radiocarbon years BP,ABIES,10.0,3.278688524590164,1535.0,BORDER
Border Beacon,55.333333,-63.2,,,5111.0,Radiocarbon years BP,ABIES,4.0,0.9950248756218906,1585.0,BORDER
Compass Pond,50.034167,-56.196389,,,-13.0,Radiocarbon years BP,ABIES,10.0,2.9850746268656714,1.0,COMPASS
Compass Pond,50.034167,-56.196389,,,73.0,Radiocarbon years BP,ABIES,17.0,5.555555555555555,5.0,COMPASS
Compass Pond,50.034167,-56.196389,,,180.0,Radiocarbon years BP,ABIES,16.0,4.289544235924933,10.0,COMPASS
Compass Pond,50.034167,-56.196389,,,393.0,Radiocarbon years BP,ABIES,17.0,5.105105105105105,20.0,COMPASS
Compass Pond,50.034167,-56.196389,,,607.0,Radiocarbon years BP,ABIES,24.0,7.317073170731707,30.0,COMPASS
Compass Pond,50.034167,-56.196389,,,821.0,Radiocarbon years BP,ABIES,38.0,9.87012987012987,40.0,COMPASS
Compass Pond,50.034167,-56.196389,,,928.0,Radiocarbon years BP,ABIES,27.0,8.108108108108109,45.0,COMPASS
Compass Pond,50.034167,-56.196389,,,1035.0,Radiocarbon years BP,ABIES,27.0,7.941176470588235,50.0,COMPASS
Compass Pond,50.034167,-56.196389,,,1248.0,Radiocarbon years BP,ABIES,23.0,7.32484076433121,60.0,COMPASS
Compass Pond,50.034167,-56.196389,,,1462.0,Radiocarbon years BP,ABIES,19.0,6.312292358803987,70.0,COMPASS
Compass Pond,50.034167,-56.196389,,,1890.0,Radiocarbon years BP,ABIES,5.0,1.483679525222552,90.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2075.0,Radiocarbon years BP,ABIES,13.0,3.9877300613496933,100.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2175.0,Radiocarbon years BP,ABIES,16.0,4.86322188449848,110.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2275.0,Radiocarbon years BP,ABIES,14.0,4.179104477611941,120.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2325.0,Radiocarbon years BP,ABIES,21.0,5.198019801980198,125.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2375.0,Radiocarbon years BP,ABIES,33.0,9.67741935483871,130.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2425.0,Radiocarbon years BP,ABIES,15.0,4.225352112676056,135.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2475.0,Radiocarbon years BP,ABIES,17.0,4.899135446685879,140.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2575.0,Radiocarbon years BP,ABIES,3.0,0.9771986970684038,150.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2675.0,Radiocarbon years BP,ABIES,5.0,1.5772870662460567,160.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2775.0,Radiocarbon years BP,ABIES,8.0,2.5889967637540456,170.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2875.0,Radiocarbon years BP,ABIES,17.0,4.815864022662889,180.0,COMPASS
Compass Pond,50.034167,-56.196389,,,2975.0,Radiocarbon years BP,ABIES,20.0,5.830903790087463,190.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3091.0,Radiocarbon years BP,ABIES,10.0,3.278688524590164,200.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3255.0,Radiocarbon years BP,ABIES,19.0,5.571847507331378,210.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3501.0,Radiocarbon years BP,ABIES,21.0,5.263157894736842,225.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3583.0,Radiocarbon years BP,ABIES,29.0,9.35483870967742,230.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3665.0,Radiocarbon years BP,ABIES,21.0,6.774193548387098,235.0,COMPASS
Compass Pond,50.034167,-56.196389,,,3747.0,Radiocarbon years BP,ABIES,10.0,3.3003300330033,240.0,COMPASS
