SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Berry Pond,42.5,-73.316667,,,5526.0,Radiocarbon years BP,ABIES,1.0,0.21739130434782608,502.0,BERRYPND
Berry Pond,42.5,-73.316667,,,9451.0,Radiocarbon years BP,ABIES,3.0,0.5484460694698354,640.0,BERRYPND
Browns Pond,38.154722,-79.616389,,,10362.0,Radiocarbon years BP,ABIES,31.0,6.828193832599119,175.0,BROWNSPD
Browns Pond,38.154722,-79.616389,,,11747.0,Radiocarbon years BP,ABIES,6.0,1.5789473684210527,200.0,BROWNSPD
Browns Pond,38.154722,-79.616389,,,12302.0,Radiocarbon years BP,ABIES,55.0,13.88888888888889,210.0,BROWNSPD
Browns Pond,38.154722,-79.616389,14504,14880,14692,Calibrated Radiocarbon Years BP (Blois),ABIES,25.0,5.747126436781609,210.1,BROWNSPD
Browns Pond,38.154722,-79.616389,,,12856.0,Radiocarbon years BP,ABIES,17.0,4.176904176904177,220.0,BROWNSPD
Browns Pond,38.154722,-79.616389,14984,15365,15173,Calibrated Radiocarbon Years BP (Blois),ABIES,19.0,5.277777777777778,220.1,BROWNSPD
Browns Pond,38.154722,-79.616389,,,13025.0,Radiocarbon years BP,ABIES,7.0,1.7456359102244388,230.0,BROWNSPD
Browns Pond,38.154722,-79.616389,15332,15737,15530,Calibrated Radiocarbon Years BP (Blois),ABIES,2.0,0.5524861878453038,230.1,BROWNSPD
Browns Pond,38.154722,-79.616389,,,13484.0,Radiocarbon years BP,ABIES,17.0,4.4619422572178475,270.0,BROWNSPD
Browns Pond,38.154722,-79.616389,,,13599.0,Radiocarbon years BP,ABIES,15.0,3.7783375314861463,280.0,BROWNSPD
Browns Pond,38.154722,-79.616389,,,13714.0,Radiocarbon years BP,ABIES,13.0,3.058823529411765,290.0,BROWNSPD
Browns Pond,38.154722,-79.616389,,,13829.0,Radiocarbon years BP,ABIES,16.0,3.7647058823529407,300.0,BROWNSPD
Browns Pond,38.154722,-79.616389,16146,16685,16393,Calibrated Radiocarbon Years BP (Blois),ABIES,7.0,1.643192488262911,310.1,BROWNSPD
