,taxon,taxon.id,P25,WS64,WhitmoreFull,WhitmoreSmall,Broad,STEPPS,type,cf
1,?Abies,23849,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
42,Abies,1,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
43,Abies alba,3644,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
44,Abies balsamea,550,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
45,Abies fargesii,23496,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
46,Abies lasiocarpa,9576,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
47,Abies marocana,3735,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
48,Abies maroccana,14909,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
49,Abies nordmanniana,2651,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
50,Abies sibirica,3734,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
51,Abies sp.,23834,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
52,Abies undiff.,3725,Abies,Abies,ABIES,ABIES,Abies,ABIES,NA,NA
105,Acer,338,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
106,Acer (reticulate),23531,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
107,Acer (rugulate),23532,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
108,Acer (striate),23533,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
109,Acer campestre,3728,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
110,Acer campestre-type,3727,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
111,Acer cf. A. campestre,3726,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
112,Acer cf. A. glabrum,3476,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
113,Acer cf. A. negundo,3165,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,TRUE
114,Acer cf. A. pensylvanicum,552,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,TRUE
115,Acer cf. A. saccharum,16994,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
116,Acer cf. A. spicatum,23534,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
117,Acer circinatum,864,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
118,Acer circinatum-type,1464,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
119,Acer glabrum,1411,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
120,Acer macrophyllum,865,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
121,Acer macrophyllum-type,970,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
123,Acer negundo-type,803,Acer,Acer,ACERX,ACERX,Acer,ACER,TRUE,NA
124,Acer nigrum,553,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
126,Acer platanoides,1318,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
127,Acer pseudoplatanus,3730,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
129,Acer rubrum-type,3627,Acer,Acer,ACERX,ACERX,Acer,ACER,TRUE,NA
131,Acer saccharinum-type,7,Acer,Acer,ACERX,ACERX,Acer,ACER,TRUE,NA
133,Acer saccharum-type,3,Acer,Acer,ACERX,ACERX,Acer,ACER,TRUE,NA
134,Acer sp.,24132,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
135,Acer spicatum,8,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
136,Acer undiff.,9,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
137,Aceraceae,15069,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,NA
138,Acer-type,3729,Acer,Acer,ACERX,ACERX,Acer,ACER,TRUE,NA
2134,cf. Acer,3731,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,TRUE
2135,cf. Acer sp.,24138,Acer,Acer,ACERX,ACERX,Acer,ACER,NA,TRUE
122,Acer negundo,4,Acer,Acer,ACNEGUNA,ACERX,Acer,ACER,NA,NA
125,Acer pensylvanicum,5,Acer,Acer,ACPENSYL,ACERX,Acer,ACER,NA,NA
128,Acer rubrum,6,Acer,Acer,ACRUBRUM,ACERX,Acer,ACER,NA,NA
130,Acer saccharinum,554,Acer,Acer,ACSACNUM,ACERX,Acer,ACER,TRUE,NA
132,Acer saccharum,555,Acer,Acer,ACSACRUM,ACERX,Acer,ACER,TRUE,NA
367,Alnus cf. A. incana,1395,Alnus,Alnus rugosa,ALNUS,ALNUSX,ALNUS,ALNUS,NA,TRUE
361,Alnus,330,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
362,Alnus (hexaporate),3662,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
363,Alnus (pentaporate),3660,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
364,Alnus (tetraporate),3659,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
365,Alnus (triporate),3661,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
366,Alnus acuminata,3134,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
368,Alnus cf. A. viridis,1394,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
369,Alnus cf. A. viridis subsp. crispa,23961,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
370,Alnus crispa,14801,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
371,Alnus crispa-type,14800,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
372,Alnus fruticosa,14795,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
373,Alnus glutinosa,1299,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
375,Alnus glutinosa-type,3770,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
376,Alnus hirsuta,1300,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
380,Alnus rhombifolia-type,971,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
382,Alnus rubra-type,264,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,TRUE,NA
385,Alnus serrulata,3512,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
386,Alnus serrulata-type,24671,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
387,Alnus sinuata,14789,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
388,Alnus sinuata-type,14791,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
389,Alnus subg. Alnobetula,24464,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
390,Alnus undiff.,15,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
391,Alnus viridis,353,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
392,Alnus viridis subsp. crispa,3606,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
393,Alnus viridis subsp. crispa-type,3607,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,TRUE,NA
394,Alnus viridis subsp. fruticosa,3683,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
395,Alnus viridis subsp. sinuata,3604,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
396,Alnus viridis subsp. sinuata-type,3605,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
397,Alnus viridis subsp. suaveolens,3779,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
398,Alnus viridis-type,14,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
399,Alnus/Alnaster,22543,Alnus,AlnusXC,ALNUSX,ALNUSX,Alnus,ALNUS,NA,NA
381,Alnus rubra,861,Alnus,Alnus rubra,ALRUBRA,ALNUSX,ALRUBRA,ALNUS,NA,NA
374,Alnus glutinosa/A. incana,3771,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,NA,NA
377,Alnus incana,344,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,NA,NA
378,Alnus incana subsp. kolaensis,3769,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,NA,NA
379,Alnus incana-type,13,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,TRUE,NA
383,Alnus rugosa,14749,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,NA,NA
384,Alnus rugosa-type,14748,Alnus,Alnus rugosa,ALRUGOSA,ALNUSX,ALRUGOSA,ALNUS,NA,NA
442,Ambrosia,345,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
443,Ambrosia artemisiifolia,3507,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
444,Ambrosia artemisioides,22729,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
445,Ambrosia carduacea/A. dumosa,15573,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
446,Ambrosia/Iva,2612,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
448,Ambrosia/Iva ciliata,23884,Prairie Forbs,Minor Forbs,AMBROSIA,AMBROSIA,AMBROSIA,AMBROSIA,NA,NA
449,Ambrosia/Xanthium,3772,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,NA
450,Ambrosia-type,16,Prairie Forbs,NA,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,TRUE,NA
970,Asteraceae cf. Ambrosia,4046,Prairie Forbs,Asteraceae,AMBROSIA,AMBROSIA,Ambrosia,AMBROSIA,NA,TRUE
497,Anacardiaceae,347,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
498,Anacardiaceae cf. Schinus,9682,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
499,Anacardiaceae cf. Spondias,9683,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
500,Anacardiaceae undiff.,18,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
501,Anacardiaceae-type,226,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,TRUE,NA
502,Anacardiaceae-type undiff.,1239,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,TRUE,NA
503,Anacardium,2007,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
504,Anacardium-type,1712,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,TRUE,NA
3367,Cotinus,20681,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
5615,Lannea,20585,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
5616,Lannea/Rhus,20682,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
6278,Mangifera,20587,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
6279,Mangifera/Anacardium,20683,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
6468,Metopium,20936,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
9226,Schinopsis,22723,NA,NA,ANACARDI,ANACARDI,ANACARDI,NA,NA,NA
679,Apiaceae,311,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
680,Apiaceae (type 1),4935,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
681,Apiaceae (type 2),4936,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
682,Apiaceae (type 3),4937,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
683,Apiaceae (type I),3033,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
684,Apiaceae (type II),3034,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
685,Apiaceae cf. Bunium rectangulum,3966,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
686,Apiaceae cf. Caucalis,5338,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
687,Apiaceae cf. Falcaria,5287,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
688,Apiaceae cf. Heracleum sphondylium,4376,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
689,Apiaceae cf. Levisticum,5289,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
690,Apiaceae cf. Ligusticum,5095,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
691,Apiaceae cf. Sium suave,1439,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
692,Apiaceae cf. Smyrniopsis,5291,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
693,Apiaceae undiff.,1172,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
1414,Bolax,9595,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
2041,Centella,9900,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
3229,Conioselinum,9620,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
3230,Conioselinum gmelinii,9621,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
3716,Dichosciadium-type,23757,NA,Minor Forbs,APIACEAE,APIACEAE,Apiaceae,NA,NA,NA
